foreign_value,english_value
buscar,to search
tampoco,neither
amar,to love
joven,young
par,pair
simplemente,simply
medio,middle
sentido,sense
lejos,far
arma,weapon
alto,tall
dólar,dollar
seis,six
seguridad,security
preocupar,to worry
palabra,word
quedar,to stay
oficina,office
matar,to kill
cama,bed
además,besides
recuerdo,memory
acerca,about
luz,light
correcto,right
demonio,demon
dormir,to sleep
sitio,place
ayudar,to help
conseguir,to get
marido,husband
paz,peace
idiota,idiot
plan,plan
cuanto,how much
peor,worse
pueblo,town
vivo,alive
john,John
bastar,to suffice
paso,step
música,music
anoche,last night
país,country
rey,king
perdón,forgiveness
faltar,to lack
diablo,devil
perder,to lose
niña,girl
señorita,miss
diez,ten
llevar,to carry
hospital,hospital
maldito,damn
fuego,fire
poner,to put
calle,street
acabar,to finish
prueba,test
increíble,incredible
real,real
libro,book
orden,order
especial,special
café,coffee
duro,hard
empezar,to start
afuera,outside
perro,dog
cielo,sky
puesto,position
viaje,trip
detrás,behind
cuarto,room
querido,dear
libre,free
cual,which
sonar,to sound
jugar,to play
cambio,change
película,movie
millón,million
llamada,call
resto,rest
extraño,strange
presidente,president
ropa,clothes
agente,agent
información,information
raro,rare
general,general
trato,deal
usar,to use
perfecto,perfect
derecho,right
modo,way
ayer,yesterday
demás,others
noticia,news
asesino,killer
control,control
odio,hate
frente,front
divertido,funny
recordar,to remember
amiga,friend
grupo,group
asunto,matter
mensaje,message
encima,above
atención,attention
diferente,different
callar,to be quiet
daño,damage
suceder,to happen
cambiar,to change
siguiente,next
sino,but
médico,doctor
boca,mouth
error,mistake
jamás,never
largo,long
pena,sorrow
voz,voice
futuro,future
secreto,secret
baño,bathroom
mil,thousand
novia,girlfriend
propio,own
sueño,dream
fuerza,strength
ambos,both
dolor,pain
encantar,to love
edad,age
pie,foot
negro,black
ganar,to win
aire,air
lamentar,to regret
adónde,where
disculpar,to forgive
cita,appointment
sistema,system
gusto,taste
pobre,poor
negocio,business
mente,mind
tuyo,yours
campo,countryside
situación,situation
tras,behind
hotel,hotel
vosotros,you all (informal)
funcionar,to function
foto,photo
abogado,lawyer
alrededor,around
próximo,next
terminar,to finish
pagar,to pay
personal,personal
ocurrir,to occur
mitad,half
pelo,hair
oficial,officer
compañía,company
relación,relationship
montón,a lot
cena,dinner
través,across
accidente,accident
caja,box
tranquilo,calm
bonito,pretty
vista,view
estúpido,stupid
línea,line
caballero,gentleman
tienda,store
comprar,to buy
centro,center
salvo,except
sol,sun
tonto,fool
hambre,hunger
mesa,table
respuesta,answer
completamente,completely
carta,letter
totalmente,totally
imposible,impossible
novio,boyfriend
normal,normal
traje,suit
dirección,address
siete,seven
placer,pleasure
barco,ship
blanco,white
profesor,teacher
servicio,service
muchacho,boy
reunión,meeting
ley,law
programa,program
carrera,career
cumpleaños,birthday
canción,song
hermoso,beautiful
universidad,university
boda,wedding
cualquiera,anyone
sala,room
decisión,decision
don,gift
necesario,necessary
prisa,hurry
embargo,embargo
interesante,interesting
abuela,grandmother
detective,detective
horrible,horrible
suelo,ground
cárcel,jail
acá,here
sentar,to sit
intentar,to try
maldición,curse
silencio,silence
capaz,able
club,club
temer,to fear
broma,joke
gobierno,government
prometer,to promise
cámara,camera
terrible,terrible
regalo,gift
amable,kind
dulce,sweet
ataque,attack
navidad,Christmas
ocho,eight
avión,airplane
investigación,investigation
jurar,to swear
mantener,to maintain
ejército,army
papel,paper
gracioso,funny
principio,beginning
delante,in front
teniente,lieutenant
deseo,desire
nave,ship
basura,trash
contacto,contact
esposo,husband
tren,train
verdadero,TRUE
alma,soul
disculpa,apology
andar,to walk
matrimonio,marriage
locura,madness
oro,gold
permiso,permission
director,director
peligro,danger
libertad,freedom
alegrar,to cheer
bajar,to go down
derecha,right
maravilloso,wonderful
espacio,space
rato,moment
abuelo,grandfather
salud,health
sorpresa,surprise
triste,sad
aun,even
maestro,teacher
según,according to
infierno,hell
tía,aunt
crimen,crime
conocido,acquaintance
consejo,advice
ante,before
iglesia,church
intento,attempt
mayoría,majority
escena,scene
piso,floor
señal,signal
honor,honor
abrir,to open
cerebro,brain
preguntar,to ask
cocina,kitchen
vestido,dress
inteligente,smart
caballo,horse
bar,bar
corte,court
adentro,inside
droga,drug
enseguida,immediately
agradable,pleasant
carne,meat
departamento,apartment
lindo,cute
mar,sea
duda,doubt
edificio,building
cargo,position
víctima,victim
luna,moon
energía,energy
frío,cold
baile,dance
misión,mission
izquierda,left
beber,to drink
finalmente,finally
simple,simple
regresar,to return
sacar,to take out
traer,to bring
opinión,opinion
apenas,hardly
cerveza,beer
reina,queen
temprano,early
tema,topic
prisión,prison
porqué,reason
público,public
salvar,to save
partido,game
causa,cause
caliente,hot
sargento,sergeant
cenar,to have dinner
compañero,partner
banco,bank
existir,to exist
ben,Ben
zona,zone
destino,destiny
base,base
soler,to tend to
cliente,client
encuentro,meeting
pelea,fight
san,Saint
norte,north
coronel,colonel
apuesto,handsome
peligroso,dangerous
té,tea
excepto,except
juicio,trial
llave,key
equivocado,wrong
posición,position
trasero,butt
espalda,back
excelente,excellent
éxito,success
ventana,window
especie,species
diferencia,difference
pedir,to ask
ejemplo,example
radio,radio
leer,to read
calma,calm
hogar,home
fondo,bottom
humano,human
tí,you
unido,united
planeta,planet
respecto,respect
regreso,return
debido,due
parar,to stop
lleno,full
respeto,respect
debajo,under
escribir,to write
estación,station
pista,track
estrella,star
enfermo,sick
doler,to hurt
ocupado,busy
correr,to run
nivel,level
experiencia,experience
salida,exit
confiar,to trust
zapato,shoe
color,color
vistazo,glance
nena,girl
juez,judge
paciente,patient
bolsa,bag
arte,art
bailar,to dance
sur,south
banda,band
aprender,to learn
precio,price
completo,complete
santo,saint
culpable,guilty
gana,desire
azul,blue
comandante,commander
acción,action
regla,rule
obra,work
esperanza,hope
cuestión,question
molestar,to annoy
bill,bill
informe,report
río,river
bienvenido,welcome
tocar,to touch
contar,to count
interior,interior
apartamento,apartment
principal,main
perdonar,to forgive
golpe,blow
estilo,style
nueve,nine
definitivamente,definitely
bomba,bomb
guardia,guard
pistola,gun
probar,to try
majestad,majesty
marcha,parade
común,common
aquel,that
vuelo,flight
nota,note
valor,value
suyo,theirs
objetivo,objective
repente,sudden
rojo,red
bromear,to joke
entrada,entry
doble,double
evitar,to avoid
máquina,machine
cuello,neck
animal,animal
acaso,perhaps
pareja,couple
verano,summer
mentira,lie
tarjeta,card
preparado,prepared
flor,flower
vos,you (informal)
opción,option
isla,island
cerrar,to close
piel,skin
enemigo,enemy
exacto,exact
justicia,justice
obviamente,obviously
despertar,to wake up
calor,heat
referir,to refer
batalla,battle
fantástico,fantastic
brazo,arm
absolutamente,absolutely
escapar,to escape
bosque,forest
gay,gay
pierna,leg
visita,visit
movimiento,movement
rico,rich
inocente,innocent
pesar,sorrow
absoluto,absolute
vacaciones,vacation
cine,cinema
brillante,brilliant
confianza,confidence
vuestro,yours (informal plural)
especialmente,especially
embarazada,pregnant
pantalón,pants
defensa,defense
estupendo,great
presión,pressure
inmediatamente,immediately
testigo,witness
olvidar,to forget
soldado,soldier
resultar,to result
depender,to depend
motivo,motive
inglés,English
estudio,study
sentimiento,feeling
propósito,purpose
partir,to depart
metro,subway
ridículo,ridiculous
dama,lady
operación,operation
empresa,company
laboratorio,laboratory
elección,choice
menudo,often
beso,kiss
copa,glass
conversación,conversation
espíritu,spirit
cansado,tired
interesar,to interest
casado,married
enorme,huge
fe,faith
mostrar,to show
trampa,trap
memoria,memory
contrario,opposite
subir,to go up
turno,turn
preocupado,worried
restaurante,restaurant
calmar,to calm
caer,to fall
leche,milk
preferir,to prefer
red,net
solamente,only
taxi,taxi
anillo,ring
héroe,hero
decidir,to decide
responsable,responsible
trago,drink
árbol,tree
diente,tooth
encantado,delighted
camión,truck
vender,to sell
detener,to stop
luchar,to fight
cabo,end
ruido,noise
lucha,struggle
reloj,watch
gato,cat
averiguar,to find out
volar,to fly
colegio,school
sonido,sound
pasado,past
código,code
imagen,image
riesgo,risk
pan,bread
hielo,ice
prensa,press
caminar,to walk
televisión,television
coger,to grab
posibilidad,possibility
asiento,seat
herir,to hurt
seguramente,surely
proyecto,project
pared,wall
sospechoso,suspect
naturaleza,nature
silla,chair
arreglar,to fix
obtener,to obtain
señoría,Your Honor
cantidad,quantity
papa,Pope
llorar,to cry
familiar,family
desastre,disaster
política,politics
nosotras,we (feminine)
enfermedad,illness
colega,colleague
príncipe,prince
verde,green
nervioso,nervous
inspector,inspector
servir,to serve
playa,beach
cantar,to sing
velocidad,speed
total,total
cabello,hair
suficientemente,sufficiently
huella,trace
unidad,unit
cuchillo,knife
tontería,nonsense
emergencia,emergency
robo,robbery
permitir,to permit
parque,park
roto,broken
serie,series
evidencia,evidence
botella,bottle
viento,wind
mando,command
apoyo,support
bala,bullet
tiro,shot
época,era
puente,bridge
distancia,distance
desear,to wish
pelear,to fight
echar,to throw
descanso,break
área,area
orgulloso,proud
dato,data
espectáculo,show
magia,magic
nacional,national
universo,universe
nariz,nose
vergüenza,shame
monstruo,monster
princesa,princess
autobús,bus
cuidar,to take care of
huevo,egg
paseo,walk
detalle,detail
belleza,beauty
abierto,open
enviar,to send
ministro,minister
conducir,to drive
aceptar,to accept
contrato,contract
viernes,Friday
hecho,fact
sociedad,society
carga,load
presente,present
uso,use
dedo,finger
oferta,offer
proteger,to protect
recibir,to receive
agradecer,to thank
robar,to steal
enamorado,in love
oeste,west
herida,wound
despacio,slowly
directamente,directly
inmediato,immediate
profesional,professional
oscuro,dark
mercado,market
cerdo,pig
líder,leader
jurado,jury
acordar,to agree
desaparecido,missing
últimamente,lately
piedra,stone
intención,intention
humor,humor
ángel,angel
